label,speech
반영,총을 만들거구나
지시,날 봐
행동 묘사,물고기를 그리고 있구나
일반적인 말,다른 걸 여기에 놔야해
행동 묘사,박스에 넣었구나
부정적인 말,내 말을 왜 듣지 않니
구체적인 칭찬,잘하고 있어
구체적인 칭찬,블럭을 거기에 둔 것 좋은 생각이야
행동 묘사,레고 사람에게 머리를 달았구나
질문,헨리 뭘 해야할지 알지
지시,바르게 그려
행동 묘사,경사로를 가게 하는구나
행동 묘사,블럭을 정리해
일반적인 말,매워 매워 매워
반영,색칠 놀이 시간이야
행동 묘사,지금 내 옆에 앉아있구나
일반적인 말,물론 필요해
구체적인 칭찬,멋진 장미를 그렸구나
일반적인 말,이거 여기에 두는 것 잘했어
일반적인 말,파란색이지만 뒤에는 빨간색이네
구체적인 칭찬,빨간색을 사용하는거 아주 멋진 생각이야
부정적인 말,지금 하지 않고 있어
구체적인 칭찬,타워를 잘 만들었어
부정적인 말,그만해
행동 묘사,의자를 한 줄로 세우고 있구나
지시,조용히해
구체적인 칭찬,상상력이 멋지구나
일반적인 말,내가 집을 그렸어
구체적인 칭찬,동물들을 잘 재운 것 잘했어
행동 묘사,노란색 크레용으로 해를 그리고 있구나
행동 묘사,빨간색 블럭을 파란색 블럭 위에 올렸구나
지시,어떻게 하는지 보여줘
부정적인 말,불평 좀 그만해
질문,이런거 본 적 있어
행동 묘사,네가 발견했네
구체적인 칭찬,멋진 공룡을 그렸구나
일반적인 말,이거 여기에 둘래
지시,이거 저기에 놓는 것 해봐
부정적인 말,던지지마
일반적인 말,자동차에 대해 많이 아는구나
구체적인 칭찬,그럴 지금 잘하고 있어
부정적인 말,그 색 아니야
반영,강아지를 좋아하는구나
지시,네모를 그리고 빨간색으로 색칠해
구체적인 칭찬,예쁜 꽃을 그렸구나
구체적인 칭찬,내 도움이 필요하니
지시,큰 것들을 먼저 놓아야해
행동 묘사,아주 어려운 퍼즐을 완성했구나
반영,찰흙놀이가 재미있구나
지시,이제 지붕을 만들어
일반적인 말,이 의자는 불편하구나
일반적인 말,오 여기로 옮겨야해
행동 묘사,통을 선반에 옮여줘
구체적인 칭찬,조각들을 전부 잘 정리했어
부정적인 말,장난감 그렇게 가지고 노는거 아니야
행동 묘사,예쁜 꽃을 색칠하고 있구나
반영,컵케익과 감자칩을 먹고 싶구나
일반적인 말,감자튀김
일반적인 말,넘어진다
지시,보라색으로 칠해
질문,이것 가지고 놀래
행동 묘사,아주 높은 타워를 만들었구나
지시,조심해
구체적인 칭찬,타워를 잘 만들었구나
일반적인 말,아니야 망치지 않았어
행동 묘사,초록색 물감으로 색칠하고 있구나
행동 묘사,그림책을 보고 있구나
행동 묘사,청사과를 그리고 있구나 햇살이 긴 해를 그리고 있구나
일반적인 칭찬,고마워
질문,우와 엄청 크다 그치
구체적인 칭찬,농장 놀이하는 건 좋은 생각이야
일반적인 말,오늘 시험에서 좋은 성적을 받았어
일반적인 말,그렇게 하면 눈에 비치는 햇빛을 가릴 수 있을거야
지시,내 차례야
반영,파란색이구나
부정적인 말,말 잘 듣는 것 잊어버렸니
일반적인 말,내 이름 철자를 말해봤어
반영,그녀의 머리카락이 갈색이 되었어
행동 묘사,아래로 밀고 있구나
일반적인 칭찬,예쁘다
지시,안하고 싶도 해
지시,포테이토 헤드를 나에게 줘
부정적인 말,그만해 아니면 상담사 선생님께 말씀드릴거야
일반적인 칭찬,훨씬 낫다
일반적인 말,포테이토 헤드가 마음에 들어
지시,그거 지금 당장 내려놔
일반적인 말,나도 피곤함이 느껴져
부정적인 말,그렇게 하는 거 아니야
일반적인 말,그래 맞아
지시,빨간색을 나에게 줄래 근데 먼저 초록색을 정리해줘
지시,캔을 주워줘
행동 묘사,인형이 화장실을 쓰고있구나
질문,보라색 드레스를 입힐거니
부정적인 말,그거 파란색 아니야 보라색이야
반영,다 완성 되었다
반영,어려운 건 내일 할 것이구나
일반적인 말,감자튀김을 찾았어
부정적인 말,안된다고 했어
일반적인 말,쿠 몬스터를 아주 좋아하는구나
행동 묘사,여왕을 찾고 있구나
반영,확실해
부정적인 말,욕 하는 것을 멈추면 그걸 가지고 놀게 해줄게
질문,초록색 크레용을 지금 사용해도 되겠니
구체적인 칭찬,아주 멋진 집을 만들었구나
행동 묘사,큰 기차 길을 만들었구나
지시,장난감은 같이 가지고 노는거야 나에게 코끼리를 줘
일반적인 칭찬,귀엽다
일반적인 말,강아지는 멍 하지
구체적인 칭찬,넌 그걸 열심히 잘하는구나
지시,이걸 맨 꼭대기에 두는 건 어때 
행동 묘사, 빨리 만들 수 있구나
반영,그냥
구체적인 칭찬,넌 그걸 아주 잘하는 구나
일반적인 말,너랑 놀이하는 게 좋아
구체적인 칭찬,정리 잘 했어
구체적인 칭찬,내 옆에서 노는 것 잘했어
일반적인 말,이 장난감을 가지고 노는 걸 좋아하는 여자아이들이 아주 많아
구체적인 칭찬,오 나에게 주는 것 고마워
질문,빨간색 조각을 줄까 아니면 검정색 조각을 줄까
구체적인 칭찬,사과가 멋지다
반영,매기를 위한 집이구나
일반적인 말,그래
질문,무슨 색이니
일반적인 말,다녀와
구체적인 칭찬,네가 그리는 그림이 멋지다
일반적인 말,지금 이렇게 층을 만들어야해
일반적인 말,어디 보자
구체적인 칭찬,크레용 줘서 고마워
반영,다른 방에 탱크가 있구나
지시,블럭을 쌓으렴
일반적인 말,나는 기차가 좋아
일반적인 말,퍼즐이 어렵구나
반영,빨간색 자동차를 찾았구나
행동 묘사,무지개를 색칠 했구나
지시,이걸로 화물 기차를 만들 수 있어
부정적인 말,그렇게 하는 것 아니야
일반적인 말,자동차가 경사로를 내겨라고 있구나
구체적인 칭찬,나도 시켜줘서 고마워
부정적인 말,점심으로 건강한 것 먹으면 안돼나
반영,기름을 넣어야하구나
지시,뒤집어 놓아
행동 묘사,운전을 하는구나
반영,핑크색 마커펜
구체적인 칭찬,그걸 참 잘해냈어
일반적인 말,티 파티를 하고 싶구나
구체적인 칭찬,멋진 형이구나
일반적인 말,그래 우체국에 들렀다가 가자
구체적인 칭찬,그일을 아주 잘했어
질문,용은 어디에 있어
일반적인 말,줄무늬가 있는거야
구체적인 칭찬,찰흙을 꺼내려고 노력하고 있구나
질문,이거
지시,짧은 것들을 더 주렴
부정적인 말,벽에 색칠 하지마
질문,레고 놀이를 하고 싶니
행동 묘사,블럭을 높이 쌓고 있구나
구체적인 칭찬,빌딩을 멋지게 만들 아이디어가 많구나
부정적인 말,하지마
일반적인 칭찬,좋아
일반적인 말,노랑머리 인형이 좋아
일반적인 말,아무거나
지시,블럭을 줘
부정적인 말,너무 빨리 말고
반영,도넛 이구나
일반적인 말,타워를 만들고 있어
일반적인 말,여기 다른 컵이 있어
반영,아기를 간호해줬구나
질문,도와줘도 될까
행동 묘사,집을 만들고 있구나
부정적인 말,그 색이 아니야
구체적인 칭찬,참을성 있게 기다리고 있구나 고마워
일반적인 말,이거 마치고 먹을 점심이 기대되
일반적인 말,다른 조각이 어디 있을까
부정적인 말,라자냐 좋아하잖아
반영,색칠 놀이가 좋구나
행동 묘사,해를 색칠하고 있구나
반영,로켓
부정적인 말,말썽꾸러기라 풍선이 많았으면 좋겠지
일반적인 칭찬,멋져
질문,이거 어때
구체적인 칭찬,그림이 멋지다
부정적인 말,소리 그만 질러
부정적인 말,하지마
일반적인 말,흥미롭네
행동 묘사,동물이랑 놀이하는구나
구체적인 칭찬,청소해서 고마워
구체적인 칭찬,예쁜 나비이다
행동 묘사,기차를 가지러 가는구나
지시,자동차를 줘
지시,거기 초록색을 줄수 있니
반영,그래 고쳤네
일반적인 말,내가 할게
반영,아빠는 우리 고양이들을 좋아하지 않아
행동 묘사,하얀색을 맨 위에 올려
지시,새를 색칠해
행동 묘사,만들었구나 
지시,형님반 처럼 행동해야지
질문,춤 출래
지시,블럭을 내 손에 줘
반영,집 멋지구나
행동 묘사,더 많은 블럭을 타워에 쌓고 있구나
일반적인 말,그런 척 하고 있구나
행동 묘사,나무를 그리고 있구나
일반적인 말,테이블 주변을 걸어다니고 있구나
일반적인 칭찬,멋지다
부정적인 말,그거 먹기 싫어
일반적인 말,사탕 먹어도 돼
지시,거기에 이렇게 놔
지시,여기 수염을 줘
질문,학급 파티에 청바지 입고 갈래
질문,방금 찾았구나
일반적인 말,소들은 날 수 없어
일반적인 말,침대에서 탄산음료를 먹고 싶어
행동 묘사,하트를 그려줘
반영,배고파
부정적인 말,그렇게 말고
반영,내가 웃기다고 생각하는구나
일반적인 말,네 남동생이 이 게임을 좋아해
일반적인 말,멋진 나비다
부정적인 말,그거 잘못 놨어
반영,멋지다 우주선을 그렸구나
질문,무엇 때문에 싸우고 있니
행동 묘사,너는 노래를 부르고 있구나
부정적인 말,잘못된 방법으로 하고 있어
반영,우주선이구나
일반적인 말,비가 오지 않았으면 좋겠다
구체적인 칭찬,정리 잘했어
일반적인 말,할 수 있을 거 같은데
질문,소는 어떤 소리를 내지
반영,강아지가 있구나
일반적인 말,같이 할 수 있어
지시,기차놀이 하자
일반적인 칭찬,잘했어
일반적인 말,거기 바로 옆에 놓아
반영,지금 말고
질문,다 했니
구체적인 칭찬,색칠 멋지게 했다
구체적인 칭찬,레고를 양보해줘서 고마워
행동 묘사,차를 내려놓고 있구나
행동 묘사,말을 골랐구나
일반적인 말,로켓 같아 보이네
일반적인 칭찬,너 참 재미있다
구체적인 칭찬,청소 잘했어
행동 묘사,큰 소리로 말하고 있구나
반영,해와 집을 그렸구나
구체적인 칭찬,가져와줘서 고마워
일반적인 말,블럭들이 바닥에 있어
지시,박스 위를 들어서 써
일반적인 말,계속 놀거야
부정적인 말,또 뭔데 놀랍지도 않다
질문,다 완성했니
일반적인 말,학교에서 조용히 앉아있으면 선생님이 좋아하실거야
지시,나랑 색칠 같이 할래
일반적인 말,멋진 타워구나
구체적인 칭찬,열심히 하고 있구나
일반적인 말,이거 할 줄 알아
부정적인 말,거기에 놓는거 아니야
지시,신발을 신어
일반적인 칭찬,잘했어
질문,재밌는 것 할래
일반적인 말,내가 하라고 한 것
일반적인 말,아빠가 복도에 서있는 것 같아
부정적인 말,그만해 그런 장난 치지 않아
구체적인 칭찬,조각을 줘서 고마워
질문,뭘 하고 있니
일반적인 말,8개를 만드려면 하나가 더 필요해
행동 묘사,해를 색칠 하고 있구나
행동 묘사,큰 자동차를 가지고 놀고 있구나
질문,색칠 놀이 할래
일반적인 말,오 컵케익을 또 찾았어
반영,파란색
질문,어디에 두었니
구체적인 칭찬,멋진 지붕이 있는 요새를 만들었네
일반적인 말,이것 치워줄게
행동 묘사,아침식사를 만들었구나
지시,파란색 자동차를 줘
일반적인 말,이제 그녀는 볼 수 있어
구체적인 칭찬,색칠 잘 하고 있어
행동 묘사,장난감을 한 줄로 세우고 있구나
일반적인 말,이제 내가 게임을 고를 차례야
일반적인 말,잘가
일반적인 말,도넛을 둘 접시야
지시,정리해
반영,타워를 만들었구나
행동 묘사,노란색으로 색칠했구나
질문,왜 아기가 중간에 있니
지시,공손하게 해
반영,스파이더 맨
부정적인 말,버릇없는 아이처럼 구는구나
반영,우리를 잡으러 오는구나
일반적인 말,여기 장난감이 많이 있다
행동 묘사,공주를 위한 집을 만들고 있어
질문,어디에
질문,그건 위험해
반영,높은 타워를 만들고 있구나
질문,너 세살이니
행동 묘사,파란색 동그라미를 넣고 있구나
일반적인 말,아이언맨을 가장 좋아해
일반적인 말,아주 높은 타워이구나
부정적인 말,나쁘게 굴지마
질문,다른 건 어디에 있니
반영,의자
일반적인 말,오 자동차가 무지 빠르구나
행동 묘사,초록색 패드 위에 기어들을 쌓아두었구나
질문,재밋다 그치
행동 묘사,포테이토헤드 팔을 끼웠구나
일반적인 말,쉬워 보이네
행동 묘사,네것을 내려놓고 있구나 나도 내려놓았어
구체적인 칭찬,레고를 잘 가지고 노니 좋다
지시,장난감을 다 정리 해줄래
행동 묘사,블럭을 나에게 줬구나
부정적인 말,네 행동이 마음에 들지 않는구나
일반적인 말,응 맞아
부정적인 말,장난감 그렇게 가지고 놀면 안돼
지시,아니 여기에 넣어
일반적인 말,우리가 만드는 길이 꽤 길다
구체적인 칭찬,다른 것 찾아줘서 고마워
반영,다른 조각들을 시도해봐도 이 조각은 안 맞네
일반적인 말,자동차가 있구나
일반적인 말,잘 행동하면 집 가는길에 맥도날드 들를게
반영,완두콩 조금
구체적인 칭찬,공손히 잘 물어봤어
일반적인 말,이 배는 높은 굴뚝이랑 둥근 창이 있네
반영,우유를 짜도 될 때 젖소들은 음메 하고 울어
부정적인 말,이건 내 것이야 네 것이 아니야
일반적인 말,빨강이나 주황 둘 중 하나야
일반적인 칭찬,고마워 
행동 묘사,장난감을 차분히 가지고 노는구나
구체적인 칭찬,피자 도우를 맛있게 만들었어
질문,언제야
일반적인 말,여기 빨간색 블럭이 있어
질문,다음은 초록색 해볼까
부정적인 말,방금 나빴어
부정적인 말,내 블럭 그만 가져가
지시,꽃을 그려줘
지시,지금 자동차 정리하지 않으면 오늘 닌텐도는 못해
지시,저것들을 사용해야할 것 같아
질문,블럭 놀이 할래
구체적인 칭찬,포테이토 헤드 잘 만들었다
반영,오 동물원에 가는구나
질문,이 블럭들 가지고 놀아도 되요
지시,넘어지기 전에 신발끈 묶어
지시,앞 바퀴에 큰 바퀴를 사용해줘
반영,강아지가 길가로 향하고 있구나
행동 묘사,장난감을 정리하고 있구나
반영,여기 와서 노는게 좋구나
질문,집을 만들고 있니
일반적인 말,저번에 초록색 막대를 사용했었어
부정적인 말,별로 좋지 않아
지시,앉아
일반적인 말,같이 그림 그리고 싶어
일반적인 말,멋진 타워다
구체적인 칭찬,이렇게 같이 양보하니 할머니가 좋아하실거야
반영,초록색
일반적인 칭찬,멋지다
구체적인 칭찬,아주 잘 분류했어
질문,괜찮니
행동 묘사,초록색 차를 타고 있구나
부정적인 말,강아지들은 귀가 그렇게 생기지 않았어
부정적인 말,착하게 놀고 있지 않구나
일반적인 말,나는 보라색을 제일 좋아해
반영,공항을 만들고 싶구나
지시,여기 동그라미를 만들어줘
질문,어떻게 생각해
질문,나도 해봐도 될까
일반적인 칭찬,멋지다
일반적인 말,할 수 있을거야
지시,가족 전체가 해야 해
일반적인 말,여기 뒤집개가 있어
행동 묘사,기차를 밀고 있구나
구체적인 칭찬,펼지는 것 잘했어
질문,내가 뭘 할 까
지시,빨간색 자동차를 줄래
반영,공원이구나
부정적인 말,야 그만해
구체적인 칭찬,정리하는 걸 잘 도와주는구나
부정적인 말,여기에 빵을 넣지 마
부정적인 말,그만 뛰어다녀
행동 묘사,아기를 먹이고 있구나
반영,자동차를 고치고 있구나
질문,뭘 해야할 지 고민하고 있니
지시,맨 위에 놔
질문,세창장이 있니
일반적인 말,재밌다고 생각하는구나
지시,청소해
행동 묘사,계란 샌드위치를 만들었구나
질문,응 충분히 높아
일반적인 말,이거 여기에 둬야해
행동 묘사,나무에 껍질을 그리고 있구나
행동 묘사,아기 고양이의 부드러운 털을 만지고 있구나
지시,정리해줘
지시,장난감을 줘
행동 묘사,곰인형이 장난감중에 제일 좋아하는 것 중 하나야
반영,농부가 닭에게 먹이를 주고 있구나
일반적인 칭찬,하이파이브
지시,크레용 정리해줘
구체적인 칭찬,오늘 말을 잘 듣는구나
지시,거기서 내려와
질문,아기는 립스틱을 발랐구나
질문,이름이 뭐야
지시,타워를 만들자 그리고
행동 묘사,나 주려고 사과를 자르고 있구나
반영,그가 먼저 가는구나
행동 묘사,찰흙으로 배를 만드는 것 처럼 보이네
부정적인 말,똑바로 안해면 작동이 안돼
구체적인 칭찬,빨리 정리 잘했어
반영,계속 해봐
일반적인 칭찬,아주 잘했어
지시,그만 때려
행동 묘사,타워를 높게 만들고 있구나
질문,오늘 학교는 어땠니
질문,바닥에 하나 있니
행동 묘사,헐거워서 집어넣구나
일반적인 말,포테이토헤드 눈이 화난 눈이구나
지시,장난감을 정리해
질문,집을 만들고 있지 그치
행동 묘사,집을 만들고 있구나
지시,집어 넣을래
일반적인 말,화가 났다니 안됐구나
지시,블럭을 거기에 놔
일반적인 말,아 소풍가자
구체적인 칭찬,동물을 다 세다니 똑똑하구나
행동 묘사,이제 의사놀이를 하는구나
일반적인 말,하얀색이 좋아
반영,할 수 있지
질문,감자튀김 맛이야
지시,그거 여기에 놔
구체적인 칭찬,예의 있게 한 것 잘했어
행동 묘사,초록색 음식을 초록색 접시에 담고 있구나
일반적인 말,빨간색 여기에 있어
일반적인 말,여기 냄비에 딸기가 들어있어
행동 묘사,그림을 그리고 있구나
행동 묘사,타워를 더 높이 만드는구나
지시,레고를 여기에 넣으렴
부정적인 말,타임아웃 하고 싶어
반영,아이스크림을 좋아하는구나
일반적인 말,바나나가 접시에 있구나
구체적인 칭찬,그것을 만들려고 열심히 하는구나
반영,자동차 경주를 할 것이구나
부정적인 말,집에서도 항상 그렇게 망가뜨리지
구체적인 칭찬,해적을 열심히 그리고 있구나
일반적인 칭찬,좋은 생각이야
반영,네 타워가 훨씬 높구나
구체적인 칭찬,오늘이 사촌의 생일인걸 기억했네 기억력이 좋구나
질문,멋지지 않니
질문,블럭이 이 박스를 채울 수 있을까
일반적인 말,아기는 저쪽에 있어
지시,사이좋게 놀아
지시,나랑 같이 장난감 정리해줄래
구체적인 칭찬,멋진 화가구나
일반적인 말,지금
일반적인 말,장난감을 같이 사용할 수 있게 가까이 가져올거야
행동 묘사,미스터 포테이토 모자를 찾고 있어
구체적인 칭찬,이 게임을 잘하는구나
부정적인 말,그렇게 하지 않아
일반적인 칭찬,멋지다
지시,이렇게 그려줘
지시,여기서 시작해
반영,빠르구나
일반적인 칭찬,멋지다
행동 묘사,큰 새를 그리고 있구나
부정적인 말,그거 아니야
반영,어떤 차가 가장 빠른지 알고 싶구나
구체적인 칭찬,멋진 말을 그렸구나
부정적인 말,그렇게 말하게 가르친 적 없어
지시,빨간색 모자를 벗기고 검정색 모자를 씌워줘
구체적인 칭찬,쿠를 정말 예쁘게 만들었구나
구체적인 칭찬,집을 멋지게 만들었구나
반영,빨간색
구체적인 칭찬,잘 잡았어
지시,다이얼을 눌러줘
반영,파란색 자동차구나
지시,사이좋게 놀아
질문,하나 더 줄래
일반적인 말,미안해
반영,자동차가 먹을 거구나
일반적인 말,블럭이 많구나
질문,파란색 크레용 줄까 노란색 크레용 줄까
지시,블럭을 줘
행동 묘사,소방관 모자를 찾았구나
행동 묘사,학교에 가는구나
지시,타워를 더 높게 만들어줘
구체적인 칭찬,그림이 멋지다
일반적인 말,스스로 마음에 드는구나
일반적인 말,글자들을 다 아는구나
지시,다른 블럭을 추가해줘
일반적인 말,놀이가 마치면 아이스크림 먹으러가자 블럭놀이 색칠놀이 찰흙놀이 자동차놀이는 재미있어
지시,이리와서 만드는 것을 도와줘
일반적인 말,응 거기에 부목이 없는거 같아
일반적인 말,화장실 가자
지시,조심해줘
반영,웃기구나
구체적인 칭찬,가만히 있는 것 잘했어
행동 묘사,높은 타워를 만들었구나
지시,보라색 마커펜을 줘
지시,노래를 부르자
지시,기다려줘
부정적인 말,그렇게 행동 할거니
반영,팀 워크
질문,집을 만들래
일반적인 칭찬,잘했어
일반적인 말,다른 블럭이 더 필요해
구체적인 칭찬,웃긴 포테이토헤드 멋지다
구체적인 칭찬,계속 시도하는 것 잘했어
반영,다리를 만들기로 결정했구나
행동 묘사,노래를 부르는구나
부정적인 말,펜은 의미가 없어
반영,초록색 잎이구나
일반적인 칭찬,멋지다
지시,이렇게 버튼을 눌러줘
반영,소는 음메하고 울지
행동 묘사,보라색으로 칠했구나
반영,그러게 머리가 산발이구나
지시,굴려줘
지시,당장 그만해
지시,내말 들었니
구체적인 칭찬,빌딩이 높구나
행동 묘사,빨간색 블럭 위에 파란색 블럭을 올렸구나
일반적인 말,이 조각들은 이렇게 맞춰져
구체적인 칭찬,예쁜 꽃을 그렸구나
일반적인 말,미스터 포테이토 헤드를 못찾겠어
반영,타워를 봤으면 좋겠구나
질문,노란색 찰흙을 어디에 놓을까
부정적인 말,별로야
지시,오 기다려
지시,기차 움직이는 걸 봐
부정적인 말,크레용 던지지마
반영,혼자 지붕을 올렸구나
일반적인 말,학교에서 계속 뛰어다니면 텔레비전 일주일동안 못봐
부정적인 말,포테이토헤드 눈을 거기에 놓지마
행동 묘사,같이 사용하고 있구나
부정적인 말,의자에 서면 안돼
행동 묘사,별 두 개를 만들었네
지시,이걸 가지고 놀거야
일반적인 말,기차가 빠르다
행동 묘사,블럭을 정리하는구나
질문,아기의 체온을 재고 있니
일반적인 말,음식을 망쳤어야해
반영,골랐구나
지시,코인을 홈에 넣어
구체적인 칭찬,양보하는 것 잘했어
질문,그가 나쁜 사람이니
반영,빨간색을 또 원하는구나
구체적인 칭찬,빨리 잘하고 있네
지시,저기 파란색을 꺼내줘
지시,끝날때 까지 기다려
일반적인 말,좋은 아빠구나
일반적인 칭찬,멋지다
질문,이 부부은 뭐지
행동 묘사,블럭을 한 줄로 세웠구나
일반적인 말,이 인형의 집은 멋지다
구체적인 칭찬,선 밖에 안나오게 잘 칠했어
부정적인 말,핑크색 접시가 나에게 없어
행동 묘사,오 코와 콧수염을 찾았네
구체적인 칭찬,만들기를 잘하는구나
구체적인 칭찬,장난감을 살살 가지고 노는 것 잘했어
부정적인 말,크게 말하지마
반영,케익을 만드는구나
부정적인 말,그건 빨강이 아니야
부정적인 말,더러워
부정적인 말,때리지마
행동 묘사,청사과를 그리고 있구나
부정적인 말,블럭 던지지마
지시,크레용을 주렴
반영,학교에서 레고를 잃어버렸구나
질문,무슨 놀이를 하고 싶니
지시,파란색 블럭을 줘
일반적인 말,팬케익을 만들거에요
지시,넘어지면 네가 주워
구체적인 칭찬,정리 잘했어
반영,오 사라졌구나
부정적인 말,그렇게 하지마
반영,강아지가 귀엽구나
행동 묘사,사자를 집에 넣어
구체적인 칭찬,그걸 아주 잘 하고 있어
일반적인 말,숫자를 잘 세는구나
구체적인 칭찬,레고를 고르다니 좋은 선택이야
일반적인 말,어떠헥 하는건지 궁금하네
일반적인 말,구멍이 하나 더 있어
질문,아저씨 좋아하니
질문,정리 하는 것 도와줄래
질문,마커펜을 줄 수 있니
일반적인 말,잃어버린 조각을 찾았어
행동 묘사,높은 타워를 만들고 있구나
구체적인 칭찬, 너의 그림이 멋지다
구체적인 칭찬,스스로 기찻길 연결한 것 잘했어
일반적인 말,네개의 초록색 크레용이 있어
행동 묘사,그림책을 보고 있구나
부정적인 말,이거 여기에 속하지 않아
지시,지붕을 올려줘
질문,지금 파란색 쓰고 있니
일반적인 칭찬,아주 멋지다
구체적인 칭찬,예쁜 꽃을 아주 잘 그렸구나
지시,여기봐
일반적인 말,머리 빗어줄게
일반적인 칭찬,멋진 생각이야
반영,너는 좋아하는구나
반영,특별한 시간이 좋구나
반영,집에 불이 났구나
일반적인 말,오 빨간색 드레스
질문,훨씬 나은가
부정적인 말,아 정말 그럴럐
일반적인 말,완두콩 인 것 같아
질문,어떤 걸 가지고 놀래
반영,맞아 니모야
일반적인 말,나는 매운 감자튀김이 있어 너는 매운 피자가 있네
지시,해야해
행동 묘사,블럭을 쌓고 있구나
구체적인 칭찬,의자에 잘 앉아있었어
일반적인 말,꽃 같아 보이는구나
지시,할수 있니
부정적인 말,그렇게 하는거 아니야
지시,다른 통 열지마
질문,헨리 제일 좋아하는 색이 뭐야
구체적인 칭찬,안전하게 잘 하고 있구나
부정적인 말,만들기를 잘 못하는구나
반영,이건 엄마구나
부정적인 말,그렇게 말고요
질문,이걸 원하니
행동 묘사,비행기를 날리고 있구나
질문,빨간색이야 맞아
일반적인 말,모자가 더 있네
지시,몇시인지 알려줘
지시,잘했어 이제 자동차 놀이를 해
반영,초록색
반영,알겠어 안볼게
일반적인 말,저번에 경사로를 내려가게 했었어
일반적인 말,파란색 크레용을 가지고 있구나
질문,무엇을 만들고 있니
반영,포테이토헤드를 만들었구나
반영,초록색
반영,귀가 큰 강아지를 그렸구나
구체적인 칭찬,가위를 안전하게 잘 사용했어
부정적인 말,나쁜말이야
행동 묘사,말을 찾았구나
지시,다시 줘
일반적인 말,작은 핑크색 찻잔이 있어
구체적인 칭찬,숫자를 잘 세는구나 하이파이브
구체적인 칭찬,맛있는 케익을 만들었구나
지시,이제 이 장난감을 가지고 놀거야
질문,박스 전체 트럭이야
부정적인 말,멍청한 짓이야
질문,이 다음 뭘 할까
일반적인 말,의자를 당겨야해
질문,상점으로 운전해 가고 있구나
지시,봐바
지시,이것 봐바
행동 묘사,타일을 추가했구나
일반적인 칭찬,잘 도와줬어
지시,이 장난감들 치워줘
질문,여기 블럭이 몇개 있니
일반적인 말,팅커 장난감들 정리해야해
지시,그림을 완성해줘
일반적인 말,내 차보다 네 차가 훨씬 빨라
반영,거기 들어갔구나
지시,조심해
행동 묘사,어떻게 놓는지 알아냈구나
일반적인 말,세번째야
일반적인 말,앰뷸런스야
질문,누구 차례지
구체적인 칭찬,멋진 그림을 그려줘서 고마워
부정적인 말,타워가 휠거야
반영,시럽
지시,파란색 블럭 위에 빨간색 블럭을 올려
일반적인 말,코끼리는 아주 랑 몸집이 크게 자랄 수 있어
부정적인 말,그만 됐어
행동 묘사,화장실에 데려갔구나
일반적인 말,하늘에 많은 것들이 있어
지시,여기 내 옆에 앉아
구체적인 칭찬,도넛을 줘서 고마워
행동 묘사,비행기를 고치고 있구나
부정적인 말,지금 착하게 하고 있지 않구나
구체적인 칭찬,블럭을 거기에 잘 넣었어
부정적인 말,장난감 그만 던져
질문,긴것 봤어 있어 일이삼사
부정적인 말,내 가방 만지지마
부정적인 말,아니 이건 파란색 크레용이야
구체적인 칭찬,그렇게 놓은 것 잘했어
반영,재밋구나
구체적인 칭찬,블럭 줘서 고마워
일반적인 말,세개 있잖아
질문,나도 해봐도 돼
질문,네 자동차 가지고 놀아도 돼
구체적인 칭찬,빨리 쓰는구나
행동 묘사,다른 조각을 찾고 있구나
부정적인 말,아냐 이 게임 좋아해
지시,다른 것 가지고 놀기 전에 블럭 정리해
구체적인 칭찬,너랑 특별한 시간을 갖는게 좋아
일반적인 칭찬,잘했어
반영,오 딸기구나
행동 묘사,광선이 긴 태양을 그리고 있구나
구체적인 칭찬,예쁜 꽃을 그려줘서 고마워
일반적인 말,아기 트럭이 온다
반영,네다 이겼어
행동 묘사,아직 하고 있구나
지시,블럭을 줘
일반적인 말,이 장난감이 좋아
질문,바보 같은가
지시,팅커 장난감 주면 앉아서 놀아
지시,이거 여기에 놔
지시,여기에 와줘
반영,경주할 준비가 됬구나
질문,장난감으로 뭐하고 있니
행동 묘사,모자를 추가했구나
지시,나도 해보자
지시,한줄로 세워줘
일반적인 말,너는 그림이 마음에 드는구나
반영,지프구나
부정적인 말,지금 아주 엉망으로 행동하고 있어
일반적인 말,그림을 여기에 주면 더 잘 볼 수 있어
지시,나는 도와줘
행동 묘사,거기 있고 싶구나
반영,우주비행사
일반적인 칭찬,아주 잘했어
지시,이 라고 말해
지시,앉아
행동 묘사,동생을 도와줬구나
반영,사과 맛 컵케익이구나
일반적인 칭찬,좋은 생각이야
일반적인 칭찬,멋지다
부정적인 말,더 멋지게 만들어봐
구체적인 칭찬,통을 선반에 잘 뒀어
일반적인 말,말을 가지고 있구나
부정적인 말,말을 안듣는구나
지시,자동차를 줘
행동 묘사,고래가 해안가에서 수영하는구나
지시,빨간색 크레용을 줘
지시,내가 찾은 것을 봐
질문,어떻게
행동 묘사,장난감 박스를 열었구나
일반적인 칭찬,잘하고 있어
행동 묘사,우리는 만들기를 하고 있어
구체적인 칭찬,장난감으로 잘했어
반영,좋아하는구나
일반적인 말,네가 제일 좋아하는 색이네
행동 묘사,선 안나오게 색칠하고 잇구나
질문,서커스가 재미있었지
구체적인 칭찬,테이블에 잘 앉아잇구나
일반적인 말,다리미를 켜뒀는지 모르겠네
질문,이렇게 계속 놀까
